CUSTOMERS,AIRLINES,,,,,ISSUE 24JAM,HOTEL,TRAIN / BUS / TRAVEL,RENT CAR,REISSUE FEE,MATERAI,TAKEOVER PAYMENT,INSURANCE,NOTE,
,INTERNASIONAL,DOMESTIC,,,,,,,,,,,,,
,,GARUDA,"OTHER AIRLINES (LION, SJ, CITILINK)","LCC (AIR ASIA, PELITA AIR, TRANSNUSA, SCOOT)","PERINTIS AIRLINE (TRIGANA, SUSI AIR, EXPRESS AIR)",,,,,,,,,,
ERHA,UP 4% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE),-,"DOMESTIC : UP 40,000 (SERVICE FEE)","KAI & KCIC : UP 40,000 /TIKET (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : UP 50,000 PER TIKET (SERVICE FEE)",NO,5%,"75,000/ PERSON (SERVICE FEE)",SERVICE FEE GAUSAH DITONGOLIN,
,,,,,,,"INTL : UP 75,000 (SERVICE FEE)","INTERNATIONAL : 100,000/TIKET (SERVICE FEE)","INTL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
ESPERTA,UP 4%  FROM TOTAL (MARKUP),UP 2% FROM TOTAL (MARKUP),ON THE TICKET,"UP 50,000 PER TIKET (SERVICE FEE)","UP 50,000 PER TIKET (SERVICE FEE)",-,MARKUP,"UP 30,000 (SERVICE FEE)","DOMESTIC : 50,000 / INTL : 100,000","GARUDA : 2% / OTHER AIRLINE: MARKUP/ LCC : 50,000/TIKET (SERVICE FEE)",,,,,
FORISA,UP 4% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL  (SERVICE FEE),ON THE TICKET,"UP 50,000 PER TIKET (SERVICE FEE)","UP 50,000 PER TIKET (SERVICE FEE)",-,MARKUP,"UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)",MARKUP,NO,5%,,,
,,,,,,,,,"INTL : UP 100,000/HARI (SERVICE FEE)",,,,,,
FUMAKILLA,UP 4% FROM TOTAL (MARKUP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,MARKUP,"UP 30,000 (MARKUP)","DOMESTIC : UP 50,000/DAY (MARKUP)",MARKUP,NO,5%,,,
,,,,,,,,,"INTL : UP 100,000/HARI (MARKUP)",,,,,,
FUMAKILLA NOMOS,UP 4% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL  (SERVICE FEE),ON THE TICKET,"UP 50,000 PER TIKET (SERVICE FEE)","UP 50,000 PER TIKET (SERVICE FEE)",-,"DOMESTIC : UP 40,000 (SERVICE FEE)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : IDR 50,000/TIKET (SERVICE FEE)",NO,5%,,,
,,,,,,,,,"INTL : UP 100,000/HARI (SERVICE FEE)","INTERNATIONAL : IDR 200,000/TIKET (SERVICE FEE)",,,,,
INDOBARA,UP 4% (FROM TOTAL - MARKUP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)","UP 50,000 PER WAY (MARK UP)",-,MARKUP,"UP 30,000 (MARKUP)","DOMESTIC : 50,000 / INTL : 100,000",,,,,,
INFINITE,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
INTESCO,UP 4% FROM TOTAL - MARK UP ( GA & NON GA ),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 30,000 PER TIKET (MARK UP)","UP 30,000 PER TIKET (MARK UP)",-,"DOMESTIC : UP 40,000 (MARKUP)","UP 30,000","DOMESTIC : UP 50,000/DAY (MARKUP)","DOMESTIC : UP 50,000 PER TIKET (MARK UP)",NO,,,,
,,,,,,,"INTL : UP 75,000 (MARKUP)",,"INTL : UP 100,000/HARI (MARKUP)","INTL : 75,000/TIKET (MARK UP)",,,,,
